ID_ATIV_ECON_ESTABELECIMENTO,DESCRICAO_CNAE_PRINCIPAL,DATA_INICIO_ATIVIDADE,IND_POSSUI_ALVARA,NOME_LOGRADOURO,NUMERO_IMOVEL,COMPLEMENTO,NOME_BAIRRO,NOME,NOME_FANTASIA,GEOMETRIA,CDB2025_Participante
1023,RESTAURANTES E SIMILARES,01-07-1993,NÃO,DESEMBARGADOR REIS ALVES,90,"ANDAR: 2,",BAIRRO DAS INDUSTRIAS I,APARECIDA MARIA DE SOUZA,,POINT (-44.00160266348147 -19.95932885767792),Não
1025,RESTAURANTES E SIMILARES,15-10-1993,NÃO,LUIZ PONGELUPE,290,C,CARDOSO,LUCAS SILVA DE ARAUJO LTDA,PIZZARIA E CHURRASCARIA VARANDA,POINT (-44.00974304765737 -20.007306848900143),Não
1056,RESTAURANTES E SIMILARES,02-05-1994,NÃO,RESSACA,118,LOJA 04,PADRE EUSTAQUIO,PAULO EMILIO COELHO,RABBIT BURGER,POINT (-43.98673023164964 -19.92069322408546),Não
1071,RESTAURANTES E SIMILARES,24-11-1993,SIM,DESEMBARGADOR RIBEIRO DA LUZ,135,,BARREIRO,GARAPAO BAR E RESTAURANTE LTDA,TATU REI DO ANGU A  BAHIANA,POINT (-44.01543251397309 -19.973597205952785),Não
705,RESTAURANTES E SIMILARES,01-10-1993,SIM,CRISTIANO MACHADO,1950,LOJA 36,CIDADE NOVA,FRIOS ALMEIDA LTDA,ESPACO DA FEIJOADA,POINT (-43.928558448372186 -19.890459540727374),Não
60382,RESTAURANTES E SIMILARES,15-12-2020,NÃO,LUZIA SALOMAO,50,,MANTIQUEIRA,AECIO CARLOS MIGUEL LEMOS 99648725691,,POINT (-43.979316081735135 -19.803261743333756),Não
60651,RESTAURANTES E SIMILARES,16-09-2011,SIM,BRAULIO GOMES NOGUEIRA,1200,,ITAIPU,CHURRASCARIA BAHIAS BAR LTDA,,POINT (-44.047001384766205 -19.990440733567887),Não
60660,RESTAURANTES E SIMILARES,16-09-2011,SIM,DOS OTONI,222,"LETRA: A,",SANTA EFIGENIA,D'MARCUS & CESAR RESTAURANTE LTDA,RESTAURANTE NOVO SABOR,POINT (-43.92258802003421 -19.926866480723163),Não
60985,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",28-09-2011,SIM,DOS TUPINAMBAS,1100,"LOJA: 04,",CENTRO,BAR DO MELO LTDA,,POINT (-43.944573994613826 -19.916263400614092),Não
60996,RESTAURANTES E SIMILARES,27-09-2011,SIM,SOLFERINA RICCI PACE,1301,,CONJUNTO JATOBA,"DU DAY RESTAURANTE, LANCHONETE E DISTRIBUIDORA DE BEBIDAS LTDA",,POINT (-44.04393527172564 -20.003527103799925),Não
60082,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",26-08-2011,NÃO,FURQUIM WERNECK,619,,TUPI A,RESTAURANTE E PIZZARIA VALORES DE MINAS LTDA,RESTAURANTE E PIZZARIA VALORES DE MINAS,POINT (-43.920575317839514 -19.839707228832484),Não
61013,RESTAURANTES E SIMILARES,30-09-2011,NÃO,SALINAS,1547,,SANTA TEREZA,SHIRLEY FRAGUAS MESQUITA 85413178620,,POINT (-43.92049242227644 -19.91503303449354),Não
60718,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",21-09-2011,SIM,OLINTO MAGALHAES,710,,PADRE EUSTAQUIO,JOEL MARTINS 03590726660,,POINT (-43.98763325350106 -19.913534337532074),Não
60479,RESTAURANTES E SIMILARES,12-09-2011,NÃO,DAS FLORES,8,,VILA SUMARE,DIVINA DA CONSOLACAO SILVA 70054436672,,POINT (-43.96581757524685 -19.888240910120064),Não
60142,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",30-08-2011,NÃO,JOSE FELIX MARTINS,560,,MANTIQUEIRA,FERNANDO CARLOS ROSA 39953084653,,POINT (-43.983672818134515 -19.801402166619937),Não
60751,RESTAURANTES E SIMILARES,21-09-2011,NÃO,MANGARATIBA,390,,SAO GERALDO,PIZZAIOLO BOA VISTA LTDA,PIZZAIOLO SAO GERALDO II,POINT (-43.902221632872475 -19.899135800662847),Não
60175,RESTAURANTES E SIMILARES,30-08-2011,SIM,OIAPOQUE,156,ANDAR 2 LOJA M 001,CENTRO,RESTAURANTE BAO TAMEM LTDA,,POINT (-43.93941005876805 -19.913528055718004),Não
60794,RESTAURANTES E SIMILARES,21-09-2011,NÃO,SERGIPE,1360,,SAVASSI,BH CHURRASCARIA LTDA,XICO DO CHURRASCO SAVASSI,POINT (-43.938495087896015 -19.938390188353235),Não
61213,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",06-10-2011,NÃO,DONA MARIA SENHORA,853,,DIAMANTE,SELMO PEREIRA COIMBRA 95585494600,,POINT (-44.021478726753124 -19.99834244787007),Não
61045,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",30-09-2011,SIM,CARLOS TORREZANI,285,"LOJA: 1,",LETICIA,14.396.470 TIAGO BARBOSA RIBEIRO,CANTINA DO CHURRASCO,POINT (-43.98162513124522 -19.810871749367497),Não
